unique_id,F1A10_1,F2A6,F2A7,F2A9,F3A3_1,F3A6_1,F3A7_1,F3A8_1
IDUS112093,7,4,5,4,6,1,1,1
IDUS112141,7,5,5,5,7,1,1,1
IDUS112910,3,1,3,2,3,3,3,3
IDUS113299,5,3,3,3,5,4,6,3
IDUS113795,5,4,4,5,6,7,3,3
IDUS113895,7,3,3,3,3,1,1,1
IDUS114452,2,1,3,4,6,6,6,6
IDUS114516,7,1,1,5,3,5,6,7
IDUS115441,2,4,5,4,5,2,4,4
IDUS115505,7,5,4,5,5,1,2,3
IDUS115524,3,3,5,4,2,7,7,7
IDUS115659,7,4,3,3,7,4,3,2
IDUS116154,7,4,2,4,3,5,2,1
IDUS116165,7,5,5,1,6,1,3,2
IDUS116369,5,2,2,3,5,4,4,4
IDUS118348,7,4,2,5,7,1,2,1
IDUS118500,7,5,2,3,7,1,1,1
IDUS121233,6,4,2,4,3,4,3,3
IDUS121718,6,3,4,5,5,5,2,2
IDUS121853,7,5,5,5,7,2,1,1
IDUS121978,6,2,2,5,5,5,5,5
IDUS122178,6,4,4,4,5,3,3,3
IDUS122448,5,2,2,3,5,3,2,3
IDUS123988,7,4,1,5,7,4,1,1
IDUS124403,4,3,2,3,6,3,2,3
IDUS125536,6,2,3,4,5,4,4,4
IDUS125849,6,3,1,4,6,1,2,4
IDUS126058,6,3,3,4,6,2,3,3
IDUS126112,7,1,5,5,1,1,1,1
IDUS126130,6,4,4,4,6,2,1,2
IDUS126154,5,1,1,3,7,1,1,1
IDUS126169,4,1,2,3,3,4,5,4
IDUS126772,5,1,2,3,6,7,2,2
IDUS126773,6,3,3,5,7,7,7,7
IDUS126791,7,5,3,3,7,2,2,2
IDUS126876,6,4,5,4,3,1,5,6
IDUS127530,7,2,4,4,7,1,2,3
IDUS127768,4,3,3,3,4,5,4,4
IDUS127802,6,5,3,3,6,1,1,1
IDUS127809,4,3,3,5,4,4,4,3
IDUS115645,4,4,3,2,5,1,3,4
IDUS115630,6,4,3,3,7,2,4,2
IDUS115659,7,4,3,3,7,3,4,2
IDUS111151,4,5,4,2,3,3,2,2
IDUS108306,6,3,3,2,4,3,5,5
IDUS104462,1,5,5,5,2,6,4,4
IDUS130041,4,5,4,4,7,3,2,3
IDUS128906,6,5,1,2,6,5,1,3
IDUS129270,4,4,2,4,4,1,1,1
IDUS108274,5,2,2,3,5,3,3,3
IDUS108736,5,2,3,3,3,6,3,3
IDUS110514,4,1,2,2,3,5,6,6
IDUS111151,5,4,5,3,3,1,1,1
IDUS113795,6,4,4,5,6,1,3,4
IDUS114931,4,2,4,4,3,4,4,4
IDUS115659,7,4,4,3,7,3,4,2
IDUS124201,2,4,4,4,6,6,2,2
IDUS130041,5,5,5,4,5,2,2,2
IDUS130394,6,4,5,5,3,3,4,3
IDUS130532,3,1,1,4,6,3,4,3
IDUS131162,6,5,5,5,7,2,5,3
IDUS131200,5,3,2,5,7,6,4,3
IDUS108274,3,2,2,3,6,4,3,3
IDUS110514,6,2,2,2,4,6,4,4
IDUS114931,4,2,3,4,3,5,4,5
IDUS115645,7,4,3,4,6,1,3,3
IDUS115659,7,4,3,3,7,3,4,2
IDUS129270,4,4,5,4,6,1,1,1
IDUS131200,5,3,2,5,6,2,5,3
IDUS131206,5,4,3,4,7,1,4,5
IDUS132872,4,5,4,5,2,1,3,7
IDUS132960,6,4,3,4,6,1,4,4
IDUS108274,5,2,2,3,5,4,3,3
IDUS108306,3,3,2,3,5,5,6,6
IDUS111151,4,4,4,3,4,1,2,2
IDUS113795,6,4,5,5,6,1,3,4
IDUS115659,7,4,4,3,7,4,4,2
IDUS127809,4,3,3,5,1,3,3,2
IDUS129270,6,4,5,3,6,1,1,1
IDUS131162,7,5,5,5,7,1,1,1
IDUS131206,6,4,4,4,7,2,3,3
IDUS133993,4,4,2,5,6,7,7,7
IDUS105307,3,5,5,3,6,1,1,1
IDUS108306,3,3,3,4,6,5,5,5
IDUS115659,7,4,3,3,7,4,3,2
IDUS130532,4,3,1,3,6,5,5,4
IDUS131162,7,5,5,5,7,1,3,1
IDUS131206,6,4,4,5,7,2,4,4
IDUS137441,6,3,4,3,6,2,1,2
IDUS110514,4,2,2,2,5,5,6,6
IDUS113795,7,4,5,5,6,1,3,4
IDUS115645,6,4,3,3,6,2,3,4
IDUS115659,7,4,3,3,7,4,3,2
IDUS132872,4,4,4,5,4,1,4,6
IDUS104915,5,3,3,2,5,7,7,7
IDUS105307,4,5,5,1,5,1,1,1
IDUS108274,5,2,2,3,6,5,3,3
IDUS110514,4,1,2,2,5,6,4,5
IDUS112031,4,3,2,3,6,7,7,3
IDUS115659,7,4,3,4,7,4,3,2
IDUS128906,5,4,1,2,7,3,2,2
IDUS131162,7,5,5,5,5,1,1,1
IDUS137441,7,3,5,3,6,1,1,1
IDUS137909,7,3,3,1,3,7,6,6
IDUS103826,5,5,5,5,6,1,2,3
IDUS105307,3,5,5,2,4,1,1,1
IDUS110514,5,2,2,2,5,5,6,6
IDUS112031,5,1,1,4,6,5,7,7
IDUS128906,5,5,1,2,7,2,2,1
IDUS130050,5,3,3,3,4,5,5,5
IDUS137441,4,4,4,3,6,1,1,1
IDUS137909,7,2,2,1,2,7,6,5
IDUS103826,5,5,5,4,7,3,3,4
IDUS137441,4,3,4,3,5,1,2,2
IDUS115659,7,4,3,3,7,5,3,2
IDUS133707,5,2,2,2,3,5,5,6
IDUS128906,4,4,1,2,7,3,1,2
IDUS137909,7,3,2,1,3,5,5,6
IDUS140583,7,3,2,3,7,1,1,1
IDUS140390,7,4,3,4,7,2,2,2
IDUS140555,3,5,1,5,7,7,7,6
IDUS115630,7,4,3,2,7,1,3,2
IDUS132960,5,3,3,3,4,2,4,4
IDUS137441,7,3,3,3,6,2,1,1
IDUS110514,4,2,2,2,3,6,6,6
IDUS110514,4,2,2,2,3,5,6,6
IDUS113795,6,4,5,5,6,4,3,4
IDUS115659,7,4,2,3,7,2,3,2
IDUS129270,6,5,5,5,6,1,2,1
IDUS132960,6,3,3,3,4,6,2,4
IDUS133707,5,1,1,1,1,7,6,6
IDUS137441,6,4,4,3,6,3,4,1
IDUS137909,7,3,2,1,5,6,6,2
IDUS115630,7,3,2,2,7,1,3,2
IDUS130394,3,5,5,5,1,7,6,2
IDUS137441,6,4,5,3,7,1,4,1
IDUS115659,6,4,3,3,7,3,3,2
IDUS129270,6,4,5,4,5,7,2,1
IDUS127809,6,5,5,5,4,4,4,4
IDUS113795,3,3,3,4,5,3,3,4
IDUS104915,4,3,3,2,4,7,7,7
IDUS110514,4,2,2,2,3,4,6,6
IDUS137441,7,5,4,4,6,2,4,2
IDUS128906,3,5,2,1,7,5,1,2
IDUS133993,4,3,3,4,5,5,4,7
IDUS113795,3,3,3,5,7,4,3,4
IDUS129270,4,5,2,4,5,1,1,1
IDUS108306,6,4,3,3,5,5,4,6
IDUS137441,7,4,4,3,6,1,1,1
IDUS110884,7,4,2,4,7,7,3,5
IDUS133993,4,3,3,3,5,6,7,7
IDUS128906,5,5,1,2,6,1,1,3
IDUS113795,6,4,3,4,5,1,3,4
IDUS112031,5,5,2,5,6,4,5,5
IDUS137909,7,3,2,1,5,6,4,3
IDUS113795,6,4,4,5,5,4,3,5
IDUS128906,5,5,1,2,6,1,3,3
IDUS137441,7,5,5,4,7,1,1,1
IDUS132960,5,3,3,3,4,2,4,4
IDUS108736,6,3,3,3,5,4,5,5
IDUS108306,6,3,3,4,4,6,6,6
IDUS104915,5,3,3,2,5,7,7,6
IDUS128906,4,5,1,1,7,2,2,3
IDUS113795,6,5,5,5,5,1,3,4
IDUS105307,5,5,5,2,5,1,1,1
IDUS137441,7,4,5,3,7,3,1,1
IDUS103408,4,4,2,5,5,6,5,6
IDUS133707,5,2,2,2,5,5,6,6
IDUS104915,5,2,4,2,5,7,6,6
IDUS128906,4,5,1,2,7,1,1,3
IDUS137441,7,4,5,4,7,1,4,2
IDUS127809,4,3,3,5,4,4,4,4
IDUS140390,7,4,2,3,7,7,1,2
IDUS128906,4,5,2,2,7,3,2,1
IDUS115645,6,5,3,3,6,2,3,4
IDUS137441,7,4,5,3,7,2,1,1
IDUS137909,7,3,1,1,6,6,6,6
IDUS115630,7,4,2,2,7,1,4,2
IDUS112031,5,3,2,5,6,5,7,5
IDUS105307,3,5,5,3,4,1,1,1
IDUS103408,2,4,4,5,4,6,6,6
IDUS117263,7,4,3,4,7,1,3,3
IDUS104915,5,2,3,2,5,7,7,7
IDUS128906,5,5,1,2,7,3,1,2
IDUS131206,6,5,5,5,1,1,2,2
IDUS137909,7,3,3,1,6,6,6,6
IDUS108306,5,2,2,4,6,6,5,5
IDUS131206,6,5,4,4,6,4,4,3
IDUS137441,7,4,5,3,6,1,1,1
IDUS117263,6,4,4,4,5,5,5,4
IDUS128906,4,5,1,2,7,3,1,3
IDUS115645,4,5,4,3,5,1,3,5
IDUS104915,5,2,3,2,4,7,7,7
IDUS137909,7,3,3,1,6,2,6,6
IDUS103826,5,5,5,5,6,1,1,2
IDUS113795,5,4,4,5,6,1,4,4
IDUS115645,5,4,4,3,6,1,3,5
IDUS128906,4,5,3,2,7,2,2,3
IDUS131206,6,4,2,4,7,1,2,2
IDUS105307,3,5,5,2,5,1,1,1
IDUS104915,5,2,3,2,6,7,7,7
IDUS103826,4,5,4,4,7,1,3,2
IDUS131206,5,5,5,5,7,1,2,2
IDUS108736,6,3,3,3,3,3,3,3
IDUS137441,7,4,4,3,6,3,1,1
IDUS113075,7,2,3,2,3,1,3,1
IDUS137909,3,3,3,1,6,6,6,6
IDUS110288,4,5,5,5,7,1,1,2
IDUS128906,4,5,2,2,7,3,1,3
IDUS104915,4,2,3,2,5,7,7,6
IDUS110288,4,1,1,1,8,1,4,4
IDUS110358,5,3,3,4,6,7,7,6
IDUS110884,7,3,2,4,5,1,8,4
IDUS113795,5,3,3,4,7,5,3,4
IDUS115630,7,4,2,2,7,8,3,1
IDUS115645,6,4,3,2,5,1,3,4
IDUS127809,7,4,4,5,4,1,3,4
IDUS128906,4,5,2,2,6,1,2,1
IDUS129270,7,5,5,5,6,1,1,1
IDUS130041,7,5,3,4,5,2,2,2
IDUS130050,4,4,4,3,4,4,4,4
IDUS131206,7,4,3,4,7,2,2,2
IDUS132960,6,4,3,3,5,2,4,3
IDUS133707,6,2,2,2,4,7,7,7
IDUS137441,7,4,5,3,7,3,1,1
IDUS103826,4,4,4,4,7,1,1,1
IDUS104915,4,3,4,2,5,7,7,7
IDUS108306,7,3,4,4,3,3,6,4
IDUS110288,4,5,5,5,4,4,1,2
IDUS110358,5,3,3,3,5,6,7,6
IDUS110884,7,3,2,4,6,2,3,8
IDUS111151,3,2,2,3,7,1,2,1
IDUS113075,6,1,3,3,3,5,2,2
IDUS113795,7,4,4,5,6,4,3,5
IDUS115659,7,4,3,3,7,2,2,2
IDUS117263,6,4,3,3,7,3,8,2
IDUS128906,5,5,2,2,6,3,2,1
IDUS130041,7,5,4,4,6,1,1,2
IDUS130050,5,4,5,4,2,5,6,5
IDUS130394,5,1,2,5,5,1,5,3
IDUS131162,5,5,2,5,3,5,3,3
IDUS132960,6,3,3,3,4,2,4,4
IDUS133707,3,3,2,4,2,7,6,7
IDUS137909,7,3,3,1,5,5,2,7
IDUS137909,7,1,1,3,6,6,7,7
IDUS104915,5,3,3,2,6,7,7,7
IDUS113075,3,3,3,2,2,3,2,1
IDUS131206,5,5,5,4,7,1,2,3
IDUS131162,7,5,3,4,7,3,1,1
IDUS108306,5,3,3,4,4,6,6,7
IDUS111151,6,3,2,2,7,1,1,2
IDUS128906,4,4,2,2,7,3,1,1
IDUS110884,7,4,2,4,6,1,4,5
IDUS110288,3,5,5,5,7,1,5,1
IDUS113795,5,4,4,5,6,4,4,5
IDUS115645,5,4,3,2,6,3,3,5
IDUS115659,7,4,3,3,7,1,3,2
IDUS130041,6,5,4,4,5,1,2,2
IDUS131206,7,5,3,4,7,2,2,2
IDUS137909,7,5,2,3,6,2,4,6
IDUS128906,4,5,2,2,7,3,1,1
IDUS110288,4,5,5,5,7,1,1,1
IDUS108306,4,3,4,3,4,5,6,5
IDUS117263,7,3,5,4,7,3,3,3
IDUS127809,6,3,3,5,7,2,4,3
IDUS105307,6,5,5,2,6,1,1,1
IDUS110884,6,3,1,4,5,2,3,5
IDUS111151,6,4,3,3,6,4,2,2
IDUS110181,4,2,4,4,5,2,6,6
IDUS129270,7,5,5,4,7,1,1,1
IDUS113075,3,3,3,3,2,1,3,3
IDUS105157,6,2,3,5,5,7,7,7
IDUS110358,4,3,3,3,6,6,6,6
IDUS113795,6,3,4,5,6,1,3,5
IDUS114931,4,2,3,4,2,3,3,3
IDUS115630,7,4,2,2,6,2,2,1
IDUS132872,7,3,4,5,1,1,3,2
IDUS115659,7,4,3,3,7,2,2,2
IDUS113581,6,5,5,5,1,1,1,1
IDUS131162,7,5,4,5,7,2,1,1
IDUS130394,3,1,1,5,2,1,3,6
IDUS122448,5,3,3,3,6,6,2,3
IDUS113895,5,3,2,3,4,1,1,1
IDUS121893,7,5,2,5,5,2,1,1
IDUS109531,3,2,3,4,3,6,7,7
IDUS121718,7,2,3,3,5,1,2,2
IDUS116369,5,3,2,3,4,4,4,4
IDUS105345,4,5,4,4,3,3,4,4
IDUS109590,6,5,3,5,7,1,1,3
IDUS112141,7,5,5,4,6,1,1,1
IDUS106278,7,5,5,5,1,7,4,7
IDUS126154,6,5,1,2,6,1,1,1
IDUS110757,6,3,3,3,5,5,3,5
IDUS118210,6,4,3,5,3,7,6,6
IDUS112093,7,4,4,3,6,1,1,2
IDUS116159,4,3,3,3,3,2,4,5
IDUS125849,6,4,2,1,6,3,3,2
IDUS125536,7,1,1,3,5,6,6,2
IDUS122148,7,2,2,3,5,4,4,4
IDUS126664,6,3,4,4,6,2,1,2
IDUS115441,4,2,1,5,7,1,4,6
IDUS124403,5,2,2,4,6,1,4,2
IDUS109286,6,3,3,2,6,2,3,4
IDUS104666,6,3,2,4,6,1,1,2
IDUS110347,6,4,3,2,5,2,2,2
IDUS113690,7,5,4,3,7,2,1,1
IDUS123988,7,5,2,4,7,4,2,2
IDUS112590,6,5,1,2,6,3,5,6
IDUS118500,7,5,2,5,7,1,1,1
IDUS109452,6,3,3,2,5,3,3,3
IDUS130532,5,3,5,4,6,4,3,3
IDUS127530,7,3,2,2,6,1,1,1
IDUS121978,5,2,2,3,3,6,4,6
IDUS126169,3,3,3,3,3,5,5,7
IDUS122178,7,5,4,5,7,5,2,2
IDUS115524,3,2,3,3,2,7,7,7
IDUS110348,7,2,3,3,5,2,2,3
IDUS114516,7,3,3,5,3,6,6,6
IDUS114452,5,1,3,4,3,6,6,6
IDUS104462,1,5,5,5,1,5,3,6
IDUS116165,7,4,3,1,7,1,3,3
IDUS126143,1,5,5,5,1,1,1,1
IDUS111006,6,1,2,2,7,7,3,3
IDUS111169,6,5,1,1,7,6,2,2
IDUS137441,7,5,5,3,6,3,1,1
IDUS113299,5,3,3,3,6,5,3,3
IDUS132960,6,3,3,3,5,1,4,6
IDUS140583,7,5,5,4,6,1,1,1
IDUS126130,5,3,3,3,5,4,1,2
IDUS116154,7,2,2,4,3,5,3,3
IDUS111996,7,3,1,3,7,2,2,3
IDUS113762,7,4,2,5,6,1,1,2
IDUS127802,7,3,2,3,7,1,1,1
IDUS126772,5,1,3,2,7,7,2,3
IDUS126174,7,5,1,3,7,4,2,3
IDUS121233,7,3,1,3,6,1,1,3
IDUS103554,4,3,2,4,7,1,1,1
IDUS118348,7,4,2,4,6,2,1,1
IDUS112849,7,5,5,5,2,1,1,1
IDUS115645,6,3,3,3,5,1,3,6
IDUS110514,4,4,3,1,5,2,4,3
IDUS104915,4,2,3,2,6,6,6,6
IDUS125517,7,5,1,5,7,3,1,1
IDUS112910,3,5,5,5,3,3,1,3
IDUS131200,4,2,3,4,5,2,3,3
IDUS130050,5,4,2,4,3,6,6,3
IDUS126876,7,5,5,4,3,1,6,6
IDUS115505,7,5,5,5,7,1,1,1
IDUS103826,6,5,1,4,6,1,1,1
IDUS108736,6,4,3,4,3,5,4,3
IDUS104578,7,5,3,3,7,4,1,1
IDUS126058,6,3,2,3,6,1,2,2
IDUS106103,4,3,2,4,7,1,3,2
IDUS126112,6,1,3,4,5,1,1,5
IDUS121853,7,4,4,3,6,1,3,1
IDUS133707,2,2,5,2,1,7,5,7
IDUS108712,4,1,1,1,4,1,4,4
IDUS119358,7,2,2,3,7,2,7,1
IDUS104424,6,2,3,3,5,1,1,1
IDUS108274,5,1,1,3,6,1,1,1
IDUS126726,2,1,4,2,4,7,7,7
IDUS110077,4,5,2,4,2,6,6,6
IDUS106240,3,2,1,2,2,4,7,6
IDUS127768,5,3,3,3,4,2,3,2
IDUS107320,7,1,1,5,5,7,6,4
IDUS103408,2,2,2,4,6,3,4,6
IDUS124201,2,5,4,4,2,6,6,3
IDUS140390,7,4,4,3,6,1,1,3
IDUS133993,5,3,2,5,5,7,7,7
IDUS140555,3,5,4,5,4,7,7,7
IDUS116159,5,4,3,3,5,1,1,5
IDUS127809,7,5,5,5,7,4,3,4
IDUS118348,6,4,2,5,5,3,2,2
IDUS125849,7,4,2,2,6,2,2,2
IDUS124403,3,2,2,5,6,2,1,1
IDUS126664,7,3,4,4,6,2,2,3
IDUS126772,7,1,1,3,6,3,1,3
IDUS137441,7,4,4,2,6,1,2,1
IDUS111066,5,3,3,3,6,4,4,4
IDUS125536,6,2,1,3,5,6,3,3
IDUS104915,4,3,3,2,6,7,6,6
IDUS110884,7,2,1,3,5,7,2,5
IDUS126174,7,5,4,2,7,1,1,1
IDUS127530,7,2,3,2,7,1,1,1
IDUS113895,3,3,3,5,4,1,1,1
IDUS140583,7,4,1,5,7,1,1,1
IDUS118500,7,5,4,5,7,1,1,1
IDUS121893,7,5,1,4,6,1,1,1
IDUS110181,5,3,3,2,3,4,3,2
IDUS104462,1,5,5,5,1,3,4,5
